Category,Name,Provider,Location,Specs,Authorization,Authentication,Description,Notes
CI Test,iojs-build-centos5-32-1,DigitalOcean,NYC3,4G,ssh,Build team,CentOS 5.11 32-bit,
CI Test,iojs-build-centos5-64-1,DigitalOcean,NYC3,4G,ssh,Build team,CentOS 5.11 64-bit,
CI Test,iojs-build-centos6,DigitalOcean,NYC3,4G,ssh,Build team,CentOS 6.6 64-bit,
CI Test,iojs-build-centos7,DigitalOcean,NYC3,4G,ssh,Build team,CentOS 7.1 64-bit,
CI Test,iojs-build-containers-1,DigitalOcean,SFO1,16G,ssh,Build team,Ubuntu 14.04 w/ Docker,For containerized Linux tests
CI Test,iojs-build-containers-2,DigitalOcean,SFO1,16G,ssh,Build team,Ubuntu 14.04 w/ Docker,For containerized Linux tests
CI Test,iojs-build-fedora21-1,DigitalOcean,NYC3,4G,ssh,Build team,Fedora 21 64-bit,
CI Test,iojs-build-fedora22-1,DigitalOcean,NYC3,4G,ssh,Build team,Fedora 22 64-bit,
CI Test,iojs-build-ubuntu1204-64-1,DigitalOcean,NYC3,4G,ssh,Build team,Ubuntu 12.04 64-bit,
CI Test,iojs-build-ubuntu1404-32-1,DigitalOcean,NYC3,4G,ssh,Build team,Ubuntu 14.04 32-bit,
CI Test,iojs-build-ubuntu1404-64-1,DigitalOcean,NYC3,4G,ssh,Build team,Ubuntu 14.04 64-bit,
CI Test,iojs-build-ubuntu1410-64-1,DigitalOcean,NYC3,4G,ssh,Build team,Ubuntu 14.10 64-bit,
CI Test,iojs-build-ubuntu1504-64-1,DigitalOcean,NYC3,4G,ssh,Build team,Ubuntu 15.05 64-bit,
CI Test,iojs-digitalocean-freebsd-linter-1,DigitalOcean,NYC3,1G,ssh,Build team,FreeBSD 10.1,Redundant CI machine for linter phase
CI Test,iojs-digitalocean-freebsd-linter-2,DigitalOcean,SFO1,1G,ssh,Build team,FreeBSD 10.1,Redundant CI machine for linter phase
CI Build,iojs-release-centos5-32-1,DigitalOcean,NYC3,4G,ssh,Limited build team,CentOS 5.11 32-bit,"Limited access due to heightened security around binaries, produces 32-bit Linux binaries"
CI Build,iojs-release-centos5-64-1,DigitalOcean,NYC3,4G,ssh,Limited build team,CentOS 5.11 64-bit,"Limited access due to heightened security around binaries, produces 64-bit Linux binaries"
iojs.org,iojs-www,DigitalOcean,SFO1,4G,ssh,Limited build team,iojs.org,Limited access due to heightened security around binaries
CI Jenkins,node-forward-jenkins,DigitalOcean,SFO1,8GB,ssh,NodeSource only,Jenkins host,"NodeSource only because of SSL cert, will change when we move to nodejs.org"
CI Test,iojs-rackspace-iad-win2012r2-1,Rackspace,IAD,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2012R2,Redundant CI machine for 2012
CI Test,iojs-rackspace-dfw-win2012r2-2,Rackspace,DFW,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2012R2,Redundant CI machine for 2012
CI Test,iojs-iad-win2008r2-1,Rackspace,IAD,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2008R2,Redundant CI machine for 2008
CI Test,iojs-dfw-win2008r2-2,Rackspace,DFW,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2008R2,Redundant CI machine for 2008
CI Build,iojs-dfw-win2008r2-release-1,Rackspace,DFW,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2008R2,Produces 64-bit Windows binaries and installer
CI Build,iojs-iad-win2008r2-release-2,Rackspace,IAD,60 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2008R2,Produces 32-bit Windows binaries and installer
CI Test,iojs-dfw-win2012r2-msvs2015-1,Rackspace,DFW,30 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2012R2,Visual Studio 2015 Beta
CI Test,iojs-iad-win2012r2-clang,Rackspace,IAD,15 GB Compute v1,RDP / Administrator,Password in secrets list,Windows 2012R2,Experimental clang build machine
